rent_price,location,sq_mt,bedroom_n,bathroom_n
850 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),66 m²,2,1
1.930 €/mes,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),176 m²,3,2
1.100 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),90 m²,2,1
900 €/mes,Valdeacederas (Distrito Tetuán. Madrid Capital),55 m²,2,1
875 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),96 m²,3,1
850 €/mes,Butarque (Distrito Villaverde. Madrid Capital),66 m²,1,1
3.100 €/mes,Castellana (Distrito Salamanca. Madrid Capital),180 m²,2,2
930 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),59 m²,2,1
1.550 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),80 m²,3,2
950 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),60 m²,2,1
1.250 €/mes,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),115 m²,4,2
800 €/mes,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),55 m²,2,1
1.300 €/mes,Corralejos (Distrito Barajas. Madrid Capital),120 m²,3,2
650 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),46 m²,1,1
625 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),37 m²,1,1
1.100 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),68 m²,2,1
850 €/mes,Goya (Distrito Salamanca. Madrid Capital),55 m²,1,1
950 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),44 m²,1,"21
 €/m²"
2.000 €/mes,Lista (Distrito Salamanca. Madrid Capital),135 m²,2,2
560 €/mes,Berruguete (Distrito Tetuán. Madrid Capital),36 m²,1,1
670 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),25 m²,1,1
670 €/mes,Vista Alegre (Distrito Carabanchel. Madrid Capital),45 m²,1,1
1.300 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),94 m²,3,2
725 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),50 m²,2,1
750 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),45 m²,1,1
700 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),35 m²,1,1
800 €/mes,Orcasur (Distrito Usera. Madrid Capital),78 m²,2,2
1.050 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),70 m²,1,1
1.350 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),100 m²,3,2
700 €/mes,Goya (Distrito Salamanca. Madrid Capital),45 m²,1,1
890 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),77 m²,1,1
900 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),69 m²,2,1
1.100 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),51 m²,1,1
975 €/mes,Comillas (Distrito Carabanchel. Madrid Capital),100 m²,2,2
850 €/mes,Fontarrón (Distrito Moratalaz. Madrid Capital),88 m²,3,2
600 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),22 m²,1,1
1.150 €/mes,Goya (Distrito Salamanca. Madrid Capital),58 m²,2,1
800 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),65 m²,1,1
725 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),40 m²,1,1
850 €/mes,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),65 m²,1,1
680 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),38 m²,1,1
1.000 €/mes,Fuente del Berro (Distrito Salamanca. Madrid Capital),60 m²,2,1
725 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),55 m²,2,1
730 €/mes,Entrevías (Distrito Puente de Vallecas. Madrid Capital),70 m²,1,1
800 €/mes,Goya (Distrito Salamanca. Madrid Capital),37 m²,1,1
890 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),60 m²,2,1
750 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),66 m²,2,1
750 €/mes,Simancas (Distrito San Blas. Madrid Capital),55 m²,1,1
3.300 €/mes,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),264 m²,5,4
650 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),34 m²,1,Bajo
2.500 €/mes,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),156 m²,3,2
1.150 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),80 m²,2,1
750 €/mes,Simancas (Distrito San Blas. Madrid Capital),48 m²,2,1
3.000 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),184 m²,2,2
1.400 €/mes,Almenara (Distrito Tetuán. Madrid Capital),110 m²,3,2
800 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),50 m²,1,1
2.950 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),99 m²,4,3
1.200 €/mes,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),93 m²,4,2
1.550 €/mes,Atalaya (Distrito Ciudad Lineal. Madrid Capital),86 m²,3,2
1.150 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),80 m²,3,1
880 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),61 m²,1,1
750 €/mes,Comillas (Distrito Carabanchel. Madrid Capital),84 m²,1,2
575 €/mes,Moscardó (Distrito Usera. Madrid Capital),35 m²,1,1
1.200 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),50 m²,2,1
700 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),41 m²,1,1
900 €/mes,Canillas (Distrito Hortaleza. Madrid Capital),55 m²,1,1
1.250 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),105 m²,3,2
1.300 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),106 m²,3,2
725 €/mes,Puerta Bonita (Distrito Carabanchel. Madrid Capital),60 m²,2,1
875 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),65 m²,1,1
750 €/mes,Canillejas (Distrito San Blas. Madrid Capital),51 m²,2,1
700 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),50 m²,1,1
700 €/mes,San Diego (Distrito Puente de Vallecas. Madrid Capital),62 m²,2,1
900 €/mes,Simancas (Distrito San Blas. Madrid Capital),80 m²,1,1
1.500 €/mes,Pinar del Rey (Distrito Hortaleza. Madrid Capital),118 m²,2,2
1.100 €/mes,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),77 m²,2,2
970 €/mes,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),110 m²,3,2
1.250 €/mes,Rosas (Distrito San Blas. Madrid Capital),110 m²,4,2
1.650 €/mes,Lista (Distrito Salamanca. Madrid Capital),86 m²,3,2
1.000 €/mes,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),105 m²,3,2
